Steel Type,E,Fy,Fu
A36,200000,248,400
A53 Gr. B,200000,241,414
A500 Gr. B I,200000,290,400
A500 Gr. B II,200000,317,400
A500 Gr. C I,200000,317,427
A500 Gr. C II,200000,345,427
A501 Gr. A,200000,248,400
A501 Gr. B,200000,345,483
A529 Gr. 50,200000,345,448
A529 Gr. 55,200000,379,483
A709 36,200000,248,400
A1043 36,200000,248,400
A1043 50,200000,345,448
A1085 Gr. A,200000,345,448
A572 Gr. 42,200000,290,414
A572 Gr. 50,200000,345,448
A572 Gr. 55,200000,379,483
A572 Gr. 60,200000,414,517
A572 Gr. 65,200000,448,552
"A618 Gr. la, lb & ll",200000,345,483
A618 Gr. lll,200000,345,448
A709 50,200000,345,448
A709 50S,200000,345,448
A709 50W,200000,345,483
A913 50,200000,345,448
A913 60,200000,414,517
A913 65,200000,448,552
A913 70,200000,483,621
A992,200000,345,448
A1065 Gr. 50,200000,345,414
A588,200000,345,483
A847,200000,345,483
A1065 Gr. 50W,200000,345,483
